16, officechair, officesupplies
24, BAIIplus, calculatortypes
7, clip, officesupplies
14, gridpaper, paper
8, ink, officesupplies
15, typingpaper, paper
25, ti83plus, calculatortypes
2, pencil, writingutensils
12, eraser, writingutensils
3, crayons, writingutensils
17, coloredpencil, writingutensils
2, pencil, writingutensils
10, clipboard, measurement
20, basiccalculator, calculatortypes
15, typingpaper, paper
16, officechair, officesupplies
15, typingpaper, paper
19, protractor, measurement
22, ti84plus, calculatortypes
1, pen, writtingutensils 
4, artpaper, paper
12, eraser, writingutensils
6, folder, officesupplies
3, crayons, writingutensils
4, artpaper, paper
11, bin, officesupplies
18, ruler, measurement
25, ti83plus, calculatortypes
8, ink, officesupplies
7, clip, officesupplies
4, artpaper, paper
2, pencil, writingutensils
17, coloredpencil, writingutensils
16, officechair, officesupplies
18, ruler, measurement
9, leadpen, writingutensils
1, pen, writtingutensils 
5, staples, measurement
20, basiccalculator, calculatortypes
15, typingpaper, paper
2, pencil, writingutensils
2, pencil, writingutensils
5, staples, measurement
20, basiccalculator, calculatortypes
2, pencil, writingutensils
4, artpaper, paper
6, folder, officesupplies
14, gridpaper, paper
25, ti83plus, calculatortypes
14, gridpaper, paper
